Employee Id,Name,Age,Department,Date of Joining,Years of Experience,Country,Salary,Performance Rating
1,Matthew Hudson,50,Operations,2021-01-22,24,Vorastria,70217,Low Performers
2,Richard Arroyo,36,Operations,2021-12-19,12,Xanthoria,72990,Average Performers
3,Carol Goodwin,30,Customer Support,2010-03-11,7,Glarastan,95664,High Performers
4,Mary Anderson,37,HR,2024-07-02,9,Hesperia,190838,High Performers
5,Joseph Wallace,33,IT,2018-05-05,7,Glarastan,304188,High Performers
6,Mary Warner,38,Logistics,2011-05-19,11,Hesperia,141329,Average Performers
7,Vickie Lara,37,Legal,2017-10-16,13,Velronia,272640,High Performers
8,David Gray,49,Operations,2017-12-06,23,Mordalia,100813,High Performers
9,Janice Henderson,44,Logistics,2016-09-18,16,Hesperia,75072,Low Performers
10,Valerie Baker,26,Legal,2018-10-10,0,Drivania,104335,Low Performers
11,Dawn Guerrero,47,Customer Support,2019-08-28,20,Glarastan,116754,Low Performers
12,Kristen Sherman,41,HR,2022-02-25,15,Hesperia,105235,Low Performers
13,Mary Martin,53,Legal,2013-11-09,27,Tavlora,218803,Low Performers
14,Michael Sullivan,39,Marketing,2023-09-30,16,Mordalia,98621,Average Performers
15,Jessica Russell,31,Marketing,2019-06-17,5,Vorastria,109564,Low Performers
16,Shelia Clark,49,Sales,2025-01-05,23,Velronia,202689,Average Performers
17,Ronald Mclaughlin,46,Logistics,2024-02-11,18,Zorathia,166462,Average Performers
18,William Sanchez,54,Sales,2015-09-02,30,Tavlora,77168,Average Performers
19,Jose Robinson,44,Legal,2021-10-07,18,Drivania,100538,Average Performers
20,Gina Sellers MD,38,Marketing,2010-03-29,16,Glarastan,120741,High Performers
21,Claire Sutton,42,Legal,2024-10-07,18,Zorathia,363344,Average Performers
22,Jacqueline Robbins,26,Finance,2011-12-13,4,Vorastria,97880,High Performers
23,Taylor Jackson,40,Operations,2012-05-20,13,Vorastria,163316,Average Performers
24,Lawrence Grant,37,Marketing,2011-10-06,12,Tavlora,215360,Average Performers
25,Angela Richards,50,Customer Support,2013-06-24,26,Velronia,139368,Average Performers
26,Kevin Sanders,47,Legal,2016-01-05,25,Vorastria,231935,Average Performers
27,Daniel Oneill,41,Customer Support,2021-09-03,14,Vorastria,84426,High Performers
28,Lindsey Bird,51,Finance,2011-04-21,24,Vorastria,171091,High Performers
29,Christian Bowers,38,Sales,2012-06-11,13,Tavlora,168410,Low Performers
30,Nicole Perry,37,Legal,2024-08-18,14,Glarastan,191908,High Performers
31,Jessica Tyler,44,Marketing,2022-03-14,18,Hesperia,141250,Average Performers
32,Crystal Vargas,59,Legal,2013-09-13,32,Drivania,194954,Average Performers
33,Christine Bradshaw,38,Customer Support,2019-05-09,11,Zorathia,144143,Average Performers
34,Alexandra Roberts,52,Finance,2020-02-02,29,Xanthoria,210296,Average Performers
35,Brian Anderson,27,HR,2018-07-09,5,Zorathia,133899,Average Performers
36,Roy Davis,30,Sales,2019-03-08,7,Mordalia,106576,Average Performers
37,Sean Williams,36,IT,2020-12-22,14,Mordalia,209939,Average Performers
38,Erin Castro,26,IT,2012-11-24,0,Velronia,87382,Low Performers
39,Christina Watkins,52,Finance,2020-07-15,30,Drivania,72915,High Performers
40,Deborah Brown,40,R&D,2010-09-01,18,Velronia,195953,High Performers
41,Kristine Ortega,33,Legal,2017-04-07,10,Glarastan,189455,High Performers
42,Natasha Wagner,55,Operations,2012-08-18,28,Luronia,123518,High Performers
